,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
173,1647740367000.0,2022-03-20 01:39:27,+0000,,@santa_care @Bob_Wachter @US_FDA @CountyofLA We are in a good spot right now - but I’m beginning to wonder if the mask mandates work less because of the actual masks and more because they create the reminder the virus is still here and people generally think and behave more cautiously. /2,en,[],[],739595086044876800,739595086044876800,AGoldsmithEsq,Anthony Goldsmith,7,01,https://twitter.com/AGoldsmithEsq/status/1505358323066892289,[],[],0,,False,1,1,0,,mask US,,,,,,,"[{'screen_name': 'santa_care', 'name': 'Santa Monica Primary Care', 'id': '1167159309668503553'}, {'screen_name': 'Bob_Wachter', 'name': 'Bob Wachter', 'id': '239210681'}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': '208120290'}, {'screen_name': 'CountyofLA', 'name': 'Los Angeles County', 'id': '193771633'}]",
174,1647740338000.0,2022-03-20 01:38:58,+0000,,@MediaknowJ PREDICTION:   Mask and vaccine mandates are returning to MANY US cities and a few states.,en,[],[],29615853,29615853,kcdartexpress,Great Plains Patriot,7,01,https://twitter.com/kcdartexpress/status/1505358201667076102,[],[],0,,False,1,1,0,,mask US,,,,,,,"[{'screen_name': 'MediaknowJ', 'name': 'TurnedOnMyBatSignalforHelp', 'id': '173700354'}]",
175,1647740273000.0,2022-03-20 01:37:53,+0000,,I will continue to wear a mask and practice social distancing as long as the number of new US COVID-19 cases exceeds 100 per day. ✋,en,[],[],1857320455,1857320455,DanDassow,Dan Dassow,7,01,https://twitter.com/DanDassow/status/1505357930039709699,[],[],0,,False,0,0,0,https://twitter.com/TheRickyDavila/status/1505270568555220995,mask US,,,,,,,[],
176,1647740242000.0,2022-03-20 01:37:22,+0000,,"@TheRickyDavila I will continue to wear a mask and practice social distancing as long as the number of new US COVID-19 cases exceeds 100 per day. Today there was over 12,000 new cases. We have a long way to go.  https://t.co/sF0QYNtteD",en,[],[],1857320455,1857320455,DanDassow,Dan Dassow,7,01,https://twitter.com/DanDassow/status/1505357798615486466,['https://twitter.com/TheRickyDavila/status/1505270568555220995'],[],0,,False,0,0,0,https://twitter.com/TheRickyDavila/status/1505270568555220995,mask US,,,,,,,"[{'screen_name': 'TheRickyDavila', 'name': 'Ricky Davila 🌻🇺🇦', 'id': '341190477'}]",
177,1647740224000.0,2022-03-20 01:37:04,+0000,,"@raymurr614 I keep wearing my mask. My health, my responsibility. I don't get people thinking that because the judgement of someone that simply sits in a rogue position of governed power of us infantiles, has ANY bearing on our own judgement. We take our own steps towards freedom. 😷",en,[],[],1360257759028068355,1360257759028068355,Brenda86420118,Daly Brenda Beatrice,7,01,https://twitter.com/Brenda86420118/status/1505357725735305217,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'raymurr614', 'name': 'Rachel Murray', 'id': '286164101'}]",
178,1647740214000.0,2022-03-20 01:36:54,+0000,,"@faesq3639 I am really sorry. We also had the 2 Moderna and booster and continue to mask. Yes, it’s still out there snd another wave will hit us in a few weeks. I hope you will be feeling better soon.",en,[],[],1233977899520151552,1233977899520151552,Democracyisfra1,Democracyisfragile🇺🇦🇺🇦🇺🇦,7,01,https://twitter.com/Democracyisfra1/status/1505357682894462978,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'faesq3639', 'name': 'Frank Aiello', 'id': '512225923'}]",
179,1647740014000.0,2022-03-20 01:33:34,+0000,,@slcairport @Delta Absolutely the worst mask enforcement in an major US airport. Disgusting SLC!,en,[],[],175286554,175286554,bigbearpdx,PSPSTL,7,01,https://twitter.com/bigbearpdx/status/1505356844763471872,[],[],0,,False,0,0,0,,mask US,,,,,,,"[{'screen_name': 'slcairport', 'name': 'SaltLakeCityAirport', 'id': '64482611'}]",
180,1647740001000.0,2022-03-20 01:33:21,+0000,,"@curiousgayus @HaydenJ81439319 @TimeOfHeroes_ @holybullies @lgbtqnation It’s exhausting. They count on tiring us out until we quit. They underestimate us who are determined to prevent yet another generation suffering the same erasure + toxicity aimed against our community for decades. I can be the adult I needed but didn’t have. So I win, they lose.",en,[],[],1162534010,1162534010,ahtskooldropout,ʲᵘˢᵗ ʷᵉᵃʳ ᵃ ᵐᵃˢᵏ,7,01,https://twitter.com/ahtskooldropout/status/1505356791193952258,[],[],0,,False,2,2,1,,mask US,,,,,,,"[{'screen_name': 'curiousgayus', 'name': 'Gay and Curious', 'id': '1106922069722349568'}, {'screen_name': 'HaydenJ81439319', 'name': 'OlderButOpen🏳️\u200d🌈🇺🇸 🇺🇦', 'id': '1202282253755330563'}, {'screen_name': 'TimeOfHeroes_', 'name': 'Time Of Heroes', 'id': '1273411112558526464'}, {'screen_name': 'holybullies', 'name': 'Holy Bullies', 'id': '16362151'}, {'screen_name': 'lgbtqnation', 'name': 'LGBTQ Nation', 'id': '83487731'}]",
181,1647739981000.0,2022-03-20 01:33:01,+0000,,@tw1970 @newacco64515530 @JeffOnTheRight Masking would work better if everyone would do it.   Wearing a mask is about loving your neighbor.    It is also about treating your neighbor as yourself.   Why is it that a disease that kills the ‘least of these’ is of no concern for the rest of us.   Very sad to be so uncaring.,en,[],[],1288244332139511814,1288244332139511814,SandyDo93404790,Sandy Downs,7,01,https://twitter.com/SandyDo93404790/status/1505356704019582976,[],[],0,,False,1,0,1,,mask US,,,,,,,"[{'screen_name': 'tw1970', 'name': 'Tracy Wright', 'id': '22669269'}, {'screen_name': 'newacco64515530', 'name': 'newaccount', 'id': '1331227745037266948'}, {'screen_name': 'JeffOnTheRight', 'name': 'Jeff Charles, President of GOP Carltons', 'id': '18342379'}]",
182,1647739978000.0,2022-03-20 01:32:58,+0000,,"""The Final Nail in the Coffin of Mask Hysteria Emerges"" In S. Korea, where virtually everyone donned a mask willingly (it's part of who they are), the cumulative case rate is now almost equal to the US, where mask wearing is spotty. Why? Masks don't work.  https://t.co/Uc9sta1ADq",en,[],[],786157305133797376,786157305133797376,graywolf442,Gray Wolf,7,01,https://twitter.com/graywolf442/status/1505356691423969280,['https://tinyurl.com/yhfnhsmx'],[],0,,False,2,1,1,,mask US,,,,,,,[],
183,1647739844000.0,2022-03-20 01:30:44,+0000,,"@HurleyOCHUCUPE Question: Which restrictions are being dropped where health care workers perform their work? Not masks since the mandate remains for health care settings, so that's not it. Not vaccines as they were never mandatory, so that's not it. Please enlighten us.",en,[],[],26017982,26017982,jmask,Jamie Mask 🇨🇦,7,01,https://twitter.com/jmask/status/1505356130725216260,[],[],0,,False,4,0,0,,mask US,,,,,,,"[{'screen_name': 'HurleyOCHUCUPE', 'name': 'MichaelHurleyCUPE', 'id': '1376193128483393537'}]",
184,1647739762000.0,2022-03-20 01:29:22,+0000,,@0x4f47 @funder ^THIS^. Why was this not a bigger deal… I always masked up for my perceived safety and that of others.. but the draw to protect ones privacy with a mask should have been HUGE..,en,[],[],506534022,506534022,SecurityByUS,SOCtastic,7,01,https://twitter.com/SecurityByUS/status/1505355787253661697,[],[],0,,False,1,0,0,,mask US,,,,,,,"[{'screen_name': '0x4f47', 'name': 'Oleksiy Gayda 🇺🇦🌻', 'id': '16705120'}, {'screen_name': 'funder', 'name': 'Scott Dworkin', 'id': '14247236'}]",
